Segment Name,Percentage of Matched Trips,Count of Matched Trips,Segment Geometry ID
,6.3,"4,100",026904cfa363114a64bb47aec6dbfcba
West Plum Street,6.3,"4,100",c7c09425c945f78f4a27fc46fae4980b
Meridian Avenue,5.8,"3,800",e10fa6d94a531fd7c102239d18a3a547
Meridian Avenue,5.7,"3,700",9ff39d83147d393233cef73f6ad308b6
West Plum Street,5.4,"3,500",a67e92b6fb39ae5201f7971d8096e962
West Plum Street,5.2,"3,400",67444c6fe912357970f1cf2a23368db0
Meridian Avenue,5.1,"3,300",c72623bc1b216029e40c1cad5f545d29
University Avenue,5.0,"3,200",10a061501c02d2cc4f97662ee202757d
West Plum Street,5.0,"3,200",3afa2d8cc95b97c86f6770494fdd1381
Meridian Avenue,5.0,"3,200",b00b6fce43fc92510d96c9aa9c823b29
University Avenue,5.0,"3,200",fcc7b4a21875cee1254c420797e75de1
Meridian Avenue,4.9,"3,200",43f3c4c6594b12d454697837fc7f630e
West Plum Street,4.9,"3,200",aebe1594fa0f4f7b5046e1fdbed79a53
,4.8,"3,100",80b0dd76046e6a18c84baca0d1bfc650
West Laurel Street,4.8,"3,100",940c98778f681d11292d01e2ae8cd88a
West Laurel Street,4.8,"3,100",a519281094cd6006816d32e4eda3ab3f
West Laurel Street,4.8,"3,100",ab372f1a58c8f25c6a08d5f06cd03eb1
West Laurel Street,4.8,"3,100",bf0fb4aade3d33884481040b8702c4d8
West Laurel Street,4.8,"3,100",f7d82ad3ef0672889b8b75c7c2f2b912
West Plum Street,4.7,"3,000",559cfb49972a1698afd7f7f59433d03f
West Laurel Street,4.7,"3,000",79fea9936207f586570941e1d0dd6348
West Pitkin Street,4.7,"3,000",910f22081d6b511ada46cc4505105653
,4.7,"3,000",b5b5c76d342a508a199d4f331f6d1a65
West Plum Street,4.7,"3,000",b77533549e370fa64916a9c3e65d9897
West Laurel Street,4.7,"3,000",caec683b59cfc54060d01cc7a9ad6a98
West Laurel Street,4.7,"3,000",eaec2b45a109a9a4f82708ff19432818
West Laurel Street,4.7,"3,100",1d72a26e02abe1eb7377937239c6d962
West Laurel Street,4.7,"3,100",b242c71daf8356ea9a92f6a6fc651035
West Plum Street,4.6,"2,900",cd5e6f7ed6de6b96f6b1b3a6ede5ff4b
West Laurel Street,4.6,"2,900",cf85eb3105bc3fb8835032870cd8a06c
West Laurel Street,4.6,"3,000",2234d0b5ebe3138c4380718a577aa575
,4.6,"3,000",4e08b11aaf78a8ea46bb3367ecbb9a28
West Laurel Street,4.6,"3,000",54160edda6fa646a7d8b9b9ae9c9aa8c
,4.6,"3,000",568b907d2766b66af1c40b928b23b506
West Pitkin Street,4.6,"3,000",a78dd371b0ed7678cef8cbb7555c86c2
,4.6,"3,000",af79f1e206b14cc662da2fa310547fd0
,4.5,"2,900",5fabab8a1a0af43df35a3283bda66ec8
,4.5,"2,900",77bf015262fc6ca25b3cd0c88e6ec0b8
University Avenue,4.5,"2,900",a76a4372e18e768785507d5efd7dcffb
,4.4,"2,800",37e4ab301f7863b2623ffe8c22942b84
West Plum Street,4.4,"2,800",b789ddea36f552bb4ad0c200dbcecfce
,4.4,"2,800",cd4f82be4d904c35ac61a8f43b2a89aa
Meridian Avenue,4.4,"2,800",df6ad33cc9ffb8b21f3b0f7afcefab2a
,4.4,"2,800",f2c28299d611d844a6019ad9e36690d5
West Elizabeth Street,4.4,"2,900",510c5bb39695e31f5a2e0ff541c0928f
West Laurel Street,4.4,"2,900",654ceb664ef28dd7d5908ce3ad6bce89
,4.4,"2,900",bcd2f22d8d58b7d4abef91c0d8fb4341
,4.3,"2,800",04715c5751b384dc384e876e6adab2f3
,4.3,"2,800",2aa27383f4bf9419c2d8c76912c1ee61
West Plum Street,4.3,"2,800",5f7d35021196208feb5573258dfd3251
,4.3,"2,800",aa51b745876349beade57c9358c40f4d
,4.2,"2,700",9b4347ca2551dcd63f8a0d2dfa50e375
