Date,Trips By Date | Starts | Spin | E-Bikes
2021-07-26,32
2021-07-27,53
2021-07-28,33
2021-07-29,61
2021-07-30,51
2021-07-31,129
2021-08-01,104
2021-08-02,67
2021-08-03,56
2021-08-04,58
2021-08-05,73
2021-08-06,65
2021-08-07,92
2021-08-08,90
2021-08-09,72
2021-08-10,56
2021-08-11,57
2021-08-12,81
2021-08-13,110
2021-08-14,141
2021-08-15,103
2021-08-16,102
2021-08-17,115
2021-08-18,176
2021-08-19,227
2021-08-20,248
2021-08-21,294
2021-08-22,240
2021-08-23,228
2021-08-24,149
2021-08-25,126
2021-08-26,105
2021-08-27,160
2021-08-28,193
2021-08-29,170
2021-08-30,91
2021-08-31,106
2021-09-01,97
2021-09-02,131
2021-09-03,209
2021-09-04,165
2021-09-05,148
2021-09-06,106
2021-09-07,83
2021-09-08,72
2021-09-09,79
2021-09-10,148
2021-09-11,220
2021-09-12,111
2021-09-13,72
2021-09-14,97
2021-09-15,66
2021-09-16,82
2021-09-17,107
2021-09-18,126
2021-09-19,73
2021-09-20,35
2021-09-21,44
2021-09-22,50
2021-09-23,62
2021-09-24,82
2021-09-25,72
2021-09-26,65
2021-09-27,46
2021-09-28,48
2021-09-29,46
2021-09-30,56
2021-10-01,56
2021-10-02,129
2021-10-03,101
2021-10-04,57
2021-10-05,50
2021-10-06,54
2021-10-07,49
2021-10-08,104
2021-10-09,246
2021-10-10,71
2021-10-11,47
2021-10-12,49
2021-10-13,35
2021-10-14,26
2021-10-15,47
2021-10-16,62
2021-10-17,67
2021-10-18,90
2021-10-19,43
2021-10-20,41
2021-10-21,44
2021-10-22,83
2021-10-23,91
2021-10-24,59
2021-10-25,59
2021-10-26,99
2021-10-27,42
2021-10-28,93
2021-10-29,83
2021-10-30,306
2021-10-31,107
2021-11-01,63
2021-11-02,40
2021-11-03,57
2021-11-04,87
2021-11-05,135
2021-11-06,196
2021-11-07,125
2021-11-08,74
2021-11-09,93
2021-11-10,101
2021-11-11,81
2021-11-12,143
2021-11-13,226
2021-11-14,86
2021-11-15,67
2021-11-16,65
2021-11-17,84
2021-11-18,79
2021-11-19,124
2021-11-20,50
2021-11-21,44
2021-11-22,40
2021-11-23,49
2021-11-24,33
2021-11-25,26
2021-11-26,58
2021-11-27,109
2021-11-28,31
2021-11-29,45
2021-11-30,72
2021-12-01,108
2021-12-02,137
2021-12-03,118
2021-12-04,118
2021-12-05,66
2021-12-06,61
2021-12-07,64
2021-12-08,80
2021-12-09,87
2021-12-10,98
2021-12-11,63
2021-12-12,61
2021-12-13,77
2021-12-14,82
2021-12-15,81
2021-12-16,106
2021-12-17,92
2021-12-18,42
2021-12-19,32
2021-12-20,34
2021-12-21,19
2021-12-22,42
2021-12-23,38
2021-12-24,34
2021-12-25,37
2021-12-26,23
2021-12-27,39
2021-12-28,32
2021-12-29,26
2021-12-30,43
2021-12-31,18
2022-01-01,2
2022-01-02,11
2022-01-03,22
2022-01-04,17
2022-01-05,14
2022-01-06,13
2022-01-07,15
2022-01-08,12
2022-01-09,18
2022-01-10,16
2022-01-11,7
2022-01-12,23
2022-01-13,20
2022-01-14,18
2022-01-15,23
2022-01-16,39
2022-01-17,19
2022-01-18,25
2022-01-19,10
2022-01-20,11
2022-01-21,21
2022-01-22,21
2022-01-23,48
2022-01-24,46
2022-01-25,18
2022-01-26,54
2022-01-27,19
2022-01-28,27
2022-01-29,29
2022-01-30,32
2022-01-31,34
2022-02-01,13
2022-02-02,0
2022-02-03,3
2022-02-04,13
2022-02-05,12
2022-02-06,10
2022-02-07,12
2022-02-08,31
2022-02-09,25
2022-02-10,28
2022-02-11,22
2022-02-12,21
2022-02-13,66
2022-02-14,41
2022-02-15,48
2022-02-16,17
2022-02-17,31
2022-02-18,43
2022-02-19,33
2022-02-20,21
2022-02-21,9
2022-02-22,4
2022-02-23,2
2022-02-24,4
2022-02-25,11
2022-02-26,26
2022-02-27,44
2022-02-28,34
2022-03-01,43
2022-03-02,51
2022-03-03,56
2022-03-04,37
2022-03-05,27
2022-03-06,15
2022-03-07,19
2022-03-08,24
2022-03-09,5
2022-03-10,9
2022-03-11,6
2022-03-12,21
2022-03-13,27
2022-03-14,30
2022-03-15,55
2022-03-16,43
2022-03-17,29
2022-03-18,19
2022-03-19,19
2022-03-20,32
2022-03-21,9
2022-03-22,7
2022-03-23,17
2022-03-24,27
2022-03-25,47
2022-03-26,66
2022-03-27,28
2022-03-28,39
2022-03-29,23
2022-03-30,37
2022-03-31,35
2022-04-01,32
2022-04-02,81
2022-04-03,42
2022-04-04,26
2022-04-05,23
2022-04-06,20
2022-04-07,56
2022-04-08,68
2022-04-09,95
2022-04-10,25
2022-04-11,38
2022-04-12,33
2022-04-13,20
2022-04-14,62
2022-04-15,64
2022-04-16,97
2022-04-17,64
2022-04-18,51
2022-04-19,66
2022-04-20,64
2022-04-21,59
2022-04-22,112
2022-04-23,71
2022-04-24,63
2022-04-25,73
2022-04-26,60
2022-04-27,52
2022-04-28,65
2022-04-29,80
2022-04-30,92
2022-05-01,46
2022-05-02,64
2022-05-03,44
2022-05-04,41
2022-05-05,68
2022-05-06,121
2022-05-07,95
2022-05-08,60
2022-05-09,57
2022-05-10,86
2022-05-11,49
2022-05-12,110
2022-05-13,111
2022-05-14,182
2022-05-15,95
2022-05-16,85
2022-05-17,66
2022-05-18,59
2022-05-19,104
2022-05-20,40
2022-05-21,116
2022-05-22,116
2022-05-23,90
2022-05-24,42
2022-05-25,75
2022-05-26,82
2022-05-27,100
2022-05-28,109
2022-05-29,84
2022-05-30,77
2022-05-31,48
2022-06-01,70
2022-06-02,126
2022-06-03,98
2022-06-04,134
2022-06-05,96
2022-06-06,67
2022-06-07,90
2022-06-08,113
2022-06-09,90
2022-06-10,115
2022-06-11,108
2022-06-12,139
2022-06-13,90
2022-06-14,80
2022-06-15,76
2022-06-16,105
2022-06-17,136
2022-06-18,136
2022-06-19,129
2022-06-20,79
2022-06-21,98
2022-06-22,106
2022-06-23,114
2022-06-24,112
2022-06-25,143
2022-06-26,124
2022-06-27,121
2022-06-28,92
2022-06-29,115
2022-06-30,123
2022-07-01,143
2022-07-02,197
2022-07-03,167
2022-07-04,112
2022-07-05,160
2022-07-06,177
2022-07-07,127
2022-07-08,156
2022-07-09,156
2022-07-10,167
2022-07-11,121
2022-07-12,132
2022-07-13,148
2022-07-14,190
2022-07-15,202
2022-07-16,269
2022-07-17,235
2022-07-18,181
2022-07-19,160
2022-07-20,164
2022-07-21,150
2022-07-22,215
2022-07-23,158
2022-07-24,208
2022-07-25,228
2022-07-26,213
2022-07-27,152
2022-07-28,124
2022-07-29,163
2022-07-30,162
2022-07-31,151
2022-08-01,128
2022-08-02,99
2022-08-03,90
2022-08-04,159
2022-08-05,197
2022-08-06,193
2022-08-07,173
2022-08-08,132
2022-08-09,134
2022-08-10,186
2022-08-11,193
2022-08-12,235
2022-08-13,268
2022-08-14,218
2022-08-15,150
2022-08-16,233
2022-08-17,287
2022-08-18,388
2022-08-19,546
2022-08-20,646
2022-08-21,453
2022-08-22,315
2022-08-23,310
2022-08-24,296
2022-08-25,272
2022-08-26,465
2022-08-27,595
2022-08-28,443
2022-08-29,336
2022-08-30,260
2022-08-31,255
2022-09-01,312
2022-09-02,405
2022-09-03,918
2022-09-04,461
2022-09-05,333
2022-09-06,321
2022-09-07,279
2022-09-08,318
2022-09-09,325
2022-09-10,448
2022-09-11,344
2022-09-12,332
2022-09-13,295
2022-09-14,288
2022-09-15,321
2022-09-16,306
2022-09-17,351
2022-09-18,315
2022-09-19,250
2022-09-20,255
2022-09-21,213
2022-09-22,227
2022-09-23,382
2022-09-24,675
2022-09-25,362
2022-09-26,183
2022-09-27,237
2022-09-28,279
2022-09-29,328
2022-09-30,375
2022-10-01,495
2022-10-02,313
2022-10-03,205
2022-10-04,274
2022-10-05,317
2022-10-06,348
2022-10-07,301
2022-10-08,367
2022-10-09,308
2022-10-10,235
2022-10-11,202
2022-10-12,199
2022-10-13,255
2022-10-14,363
2022-10-15,712
2022-10-16,343
2022-10-17,256
2022-10-18,239
2022-10-19,263
2022-10-20,254
2022-10-21,252
2022-10-22,340
2022-10-23,178
2022-10-24,101
2022-10-25,111
2022-10-26,102
2022-10-27,79
2022-10-28,119
2022-10-29,111
2022-10-30,98
2022-10-31,61
2022-11-01,99
2022-11-02,74
2022-11-03,62
2022-11-04,77
2022-11-05,162
2022-11-06,113
2022-11-07,99
2022-11-08,130
2022-11-09,152
2022-11-10,119
2022-11-11,143
2022-11-12,244
2022-11-13,127
2022-11-14,92
2022-11-15,134
2022-11-16,117
2022-11-17,71
2022-11-18,47
2022-11-19,40
2022-11-20,33
2022-11-21,47
2022-11-22,39
2022-11-23,25
2022-11-24,36
2022-11-25,37
2022-11-26,57
2022-11-27,50
2022-11-28,64
2022-11-29,28
2022-11-30,31
2022-12-01,59
2022-12-02,44
2022-12-03,48
2022-12-04,70
2022-12-05,60
2022-12-06,53
2022-12-07,70
2022-12-08,63
2022-12-09,92
2022-12-10,96
2022-12-11,62
2022-12-12,62
2022-12-13,54
2022-12-14,45
2022-12-15,53
2022-12-16,56
2022-12-17,36
2022-12-18,26
2022-12-19,32
2022-12-20,27
2022-12-21,10
2022-12-22,0
2022-12-23,3
2022-12-24,15
2022-12-25,6
2022-12-26,15
2022-12-27,14
2022-12-28,7
2022-12-29,8
2022-12-30,18
2022-12-31,36
2023-01-01,45
2023-01-02,7
2023-01-03,12
2023-01-04,11
2023-01-05,20
2023-01-06,23
2023-01-07,16
2023-01-08,23
2023-01-09,30
2023-01-10,27
2023-01-11,26
2023-01-12,27
2023-01-13,26
2023-01-14,30
2023-01-15,46
2023-01-16,37
2023-01-17,56
2023-01-18,0
2023-01-19,27
2023-01-20,34
2023-01-21,33
2023-01-22,47
2023-01-23,28
2023-01-24,42
2023-01-25,44
2023-01-26,65
2023-01-27,52
2023-01-28,57
2023-01-29,15
2023-01-30,18
2023-01-31,50
2023-02-01,61
2023-02-02,74
2023-02-03,76
2023-02-04,68
2023-02-05,51
2023-02-06,54
2023-02-07,64
2023-02-08,54
2023-02-09,55
2023-02-10,46
2023-02-11,63
2023-02-12,87
2023-02-13,54
2023-02-14,54
2023-02-15,23
2023-02-16,50
2023-02-17,53
2023-02-18,41
2023-02-19,36
2023-02-20,40
2023-02-21,68
2023-02-22,11
2023-02-23,23
2023-02-24,47
2023-02-25,34
2023-02-26,42
2023-02-27,40
2023-02-28,40
2023-03-01,34
2023-03-02,44
2023-03-03,42
2023-03-04,49
2023-03-05,56
2023-03-06,73
2023-03-07,60
2023-03-08,52
2023-03-09,39
2023-03-10,53
2023-03-11,61
2023-03-12,35
2023-03-13,44
2023-03-14,45
2023-03-15,54
2023-03-16,23
2023-03-17,48
2023-03-18,64
2023-03-19,65
2023-03-20,50
2023-03-21,76
2023-03-22,47
2023-03-23,82
2023-03-24,83
2023-03-25,48
2023-03-26,56
2023-03-27,12
2023-03-28,50
2023-03-29,45
2023-03-30,74
2023-03-31,62
2023-04-01,153
2023-04-02,94
2023-04-03,66
2023-04-04,36
2023-04-05,68
2023-04-06,60
2023-04-07,132
2023-04-08,99
2023-04-09,97
2023-04-10,94
2023-04-11,94
2023-04-12,131
2023-04-13,122
2023-04-14,71
2023-04-15,84
2023-04-16,123
2023-04-17,122
2023-04-18,149
2023-04-19,107
2023-04-20,134
2023-04-21,117
2023-04-22,87
2023-04-23,127
2023-04-24,143
2023-04-25,100
2023-04-26,129
2023-04-27,146
2023-04-28,194
2023-04-29,294
2023-04-30,252
2023-05-01,230
2023-05-02,190
2023-05-03,140
2023-05-04,173
2023-05-05,223
2023-05-06,209
2023-05-07,148
2023-05-08,133
2023-05-09,184
2023-05-10,86
2023-05-11,71
2023-05-12,168
2023-05-13,199
2023-05-14,61
2023-05-15,92
2023-05-16,111
2023-05-17,120
2023-05-18,59
2023-05-19,150
2023-05-20,144
2023-05-21,175
2023-05-22,146
2023-05-23,160
2023-05-24,152
2023-05-25,175
2023-05-26,144
2023-05-27,179
2023-05-28,174
2023-05-29,153
2023-05-30,119
2023-05-31,121
2023-06-01,145
2023-06-02,180
2023-06-03,199
2023-06-04,73
2023-06-05,74
2023-06-06,130
2023-06-07,157
2023-06-08,169
2023-06-09,171
2023-06-10,299
2023-06-11,199
2023-06-12,112
2023-06-13,148
2023-06-14,230
2023-06-15,212
2023-06-16,135
2023-06-17,163
2023-06-18,235
2023-06-19,220
2023-06-20,277
2023-06-21,228
2023-06-22,272
2023-06-23,300
2023-06-24,224
2023-06-25,221
2023-06-26,265
2023-06-27,240
2023-06-28,274
2023-06-29,268
2023-06-30,210
2023-07-01,280
2023-07-02,270
2023-07-03,181
2023-07-04,206
2023-07-05,132
2023-07-06,173
2023-07-07,181
2023-07-08,180
2023-07-09,223
2023-07-10,176
2023-07-11,199
2023-07-12,213
2023-07-13,269
2023-07-14,359
2023-07-15,351
2023-07-16,253
2023-07-17,214
2023-07-18,188
2023-07-19,225
2023-07-20,143
2023-07-21,242
2023-07-22,240
2023-07-23,212
2023-07-24,218
2023-07-25,251
2023-07-26,175
2023-07-27,204
