Time Period,Median Trip Distance (miles),Median Trip Duration (minutes),Average Trip Distance (miles),Average Trip Duration (minutes),Average Trips per Day,Total Distance (miles),Total MDS Trips
all,1,7.3,1.45,12.2,529,891591,615000
2021-Q3,1,8,1.57,14.5,1028,108116,68900
2021-Q4,0.9,6.4,1.28,10.7,662,77941,60900
2022-Q1,0.82,6.6,1.21,13,312,34015,28100
2022-Q2,1.14,8.2,1.64,13.9,670,99866,61000
2022-Q3,1.22,8.6,1.72,14.3,787,124884,72400
2022-Q4,1.04,7.2,1.41,11.5,370,48030,34000
2023-Q1,0.85,5.9,1.15,9.9,257,26635,23100
2023-Q2,1.05,7.3,1.5,12.3,605,82475,55100
2023-Q3,1.1,7.7,1.53,12.1,662,93246,60900
2023-Q4,0.96,6.3,1.27,9.6,366,42720,33700
2024-Q1,0.92,6.4,1.22,9.3,164,18196,14900
2024-Q2,0.96,7,1.37,11.1,422,52775,38400
2024-Q3,0.91,6.9,1.3,10.6,691,82692,63600
