Date,Trips By Date | Starts | Spin | Scooters
2021-07-26,117
2021-07-27,131
2021-07-28,192
2021-07-29,331
2021-07-30,331
2021-07-31,797
2021-08-01,514
2021-08-02,320
2021-08-03,236
2021-08-04,422
2021-08-05,393
2021-08-06,429
2021-08-07,580
2021-08-08,515
2021-08-09,463
2021-08-10,440
2021-08-11,445
2021-08-12,395
2021-08-13,521
2021-08-14,803
2021-08-15,709
2021-08-16,560
2021-08-17,783
2021-08-18,987
2021-08-19,959
2021-08-20,1526
2021-08-21,1879
2021-08-22,1603
2021-08-23,1755
2021-08-24,1648
2021-08-25,1659
2021-08-26,1545
2021-08-27,1650
2021-08-28,1677
2021-08-29,1136
2021-08-30,1056
2021-08-31,1117
2021-09-01,1081
2021-09-02,1334
2021-09-03,2144
2021-09-04,1526
2021-09-05,1335
2021-09-06,931
2021-09-07,1018
2021-09-08,1110
2021-09-09,1252
2021-09-10,1659
2021-09-11,2074
2021-09-12,1140
2021-09-13,850
2021-09-14,1161
2021-09-15,1233
2021-09-16,1470
2021-09-17,1371
2021-09-18,1454
2021-09-19,1069
2021-09-20,1020
2021-09-21,1129
2021-09-22,1076
2021-09-23,1209
2021-09-24,1353
2021-09-25,1315
2021-09-26,928
2021-09-27,986
2021-09-28,1201
2021-09-29,1029
2021-09-30,1136
2021-10-01,1311
2021-10-02,1506
2021-10-03,965
2021-10-04,1044
2021-10-05,1116
2021-10-06,1105
2021-10-07,1271
2021-10-08,1844
2021-10-09,2512
2021-10-10,918
2021-10-11,790
2021-10-12,893
2021-10-13,969
2021-10-14,1073
2021-10-15,1062
2021-10-16,951
2021-10-17,833
2021-10-18,933
2021-10-19,859
2021-10-20,890
2021-10-21,964
2021-10-22,1013
2021-10-23,1004
2021-10-24,788
2021-10-25,798
2021-10-26,807
2021-10-27,853
2021-10-28,919
2021-10-29,1249
2021-10-30,1762
2021-10-31,701
2021-11-01,472
2021-11-02,529
2021-11-03,777
2021-11-04,757
2021-11-05,942
2021-11-06,1008
2021-11-07,634
2021-11-08,651
2021-11-09,719
2021-11-10,713
2021-11-11,667
2021-11-12,828
2021-11-13,1422
2021-11-14,571
2021-11-15,638
2021-11-16,661
2021-11-17,500
2021-11-18,604
2021-11-19,607
2021-11-20,400
2021-11-21,246
2021-11-22,314
2021-11-23,235
2021-11-24,242
2021-11-25,177
2021-11-26,329
2021-11-27,585
2021-11-28,383
2021-11-29,483
2021-11-30,551
2021-12-01,563
2021-12-02,577
2021-12-03,613
2021-12-04,634
2021-12-05,327
2021-12-06,399
2021-12-07,477
2021-12-08,479
2021-12-09,483
2021-12-10,356
2021-12-11,328
2021-12-12,282
2021-12-13,347
2021-12-14,314
2021-12-15,190
2021-12-16,294
2021-12-17,211
2021-12-18,195
2021-12-19,179
2021-12-20,155
2021-12-21,194
2021-12-22,193
2021-12-23,186
2021-12-24,186
2021-12-25,95
2021-12-26,164
2021-12-27,134
2021-12-28,105
2021-12-29,108
2021-12-30,87
2021-12-31,45
2022-01-01,12
2022-01-02,9
2022-01-03,41
2022-01-04,44
2022-01-05,24
2022-01-06,12
2022-01-07,36
2022-01-08,54
2022-01-09,56
2022-01-10,50
2022-01-11,46
2022-01-12,109
2022-01-13,132
2022-01-14,100
2022-01-15,148
2022-01-16,154
2022-01-17,215
2022-01-18,270
2022-01-19,59
2022-01-20,75
2022-01-21,182
2022-01-22,214
2022-01-23,198
2022-01-24,218
2022-01-25,108
2022-01-26,131
2022-01-27,97
2022-01-28,192
2022-01-29,168
2022-01-30,141
2022-01-31,209
2022-02-01,123
2022-02-02,10
2022-02-03,66
2022-02-04,128
2022-02-05,120
2022-02-06,116
2022-02-07,221
2022-02-08,218
2022-02-09,196
2022-02-10,270
2022-02-11,230
2022-02-12,235
2022-02-13,262
2022-02-14,369
2022-02-15,329
2022-02-16,137
2022-02-17,112
2022-02-18,218
2022-02-19,328
2022-02-20,275
2022-02-21,246
2022-02-22,87
2022-02-23,35
2022-02-24,94
2022-02-25,181
2022-02-26,192
2022-02-27,220
2022-02-28,328
2022-03-01,373
2022-03-02,417
2022-03-03,519
2022-03-04,524
2022-03-05,343
2022-03-06,159
2022-03-07,310
2022-03-08,338
2022-03-09,70
2022-03-10,155
2022-03-11,230
2022-03-12,312
2022-03-13,278
2022-03-14,308
2022-03-15,444
2022-03-16,263
2022-03-17,226
2022-03-18,338
2022-03-19,623
2022-03-20,441
2022-03-21,352
2022-03-22,354
2022-03-23,491
2022-03-24,619
2022-03-25,628
2022-03-26,794
2022-03-27,526
2022-03-28,477
2022-03-29,331
2022-03-30,449
2022-03-31,510
2022-04-01,695
2022-04-02,808
2022-04-03,534
2022-04-04,509
2022-04-05,430
2022-04-06,442
2022-04-07,288
2022-04-08,623
2022-04-09,825
2022-04-10,288
2022-04-11,486
2022-04-12,333
2022-04-13,386
2022-04-14,510
2022-04-15,572
2022-04-16,587
2022-04-17,363
2022-04-18,426
2022-04-19,530
2022-04-20,588
2022-04-21,599
2022-04-22,837
2022-04-23,752
2022-04-24,386
2022-04-25,449
2022-04-26,566
2022-04-27,627
2022-04-28,749
2022-04-29,723
2022-04-30,846
2022-05-01,550
2022-05-02,632
2022-05-03,528
2022-05-04,410
2022-05-05,883
2022-05-06,931
2022-05-07,962
2022-05-08,630
2022-05-09,552
2022-05-10,727
2022-05-11,776
2022-05-12,856
2022-05-13,1044
2022-05-14,1128
2022-05-15,745
2022-05-16,624
2022-05-17,585
2022-05-18,506
2022-05-19,585
2022-05-20,247
2022-05-21,582
2022-05-22,465
2022-05-23,441
2022-05-24,302
2022-05-25,612
2022-05-26,668
2022-05-27,779
2022-05-28,915
2022-05-29,509
2022-05-30,486
2022-05-31,328
2022-06-01,421
2022-06-02,568
2022-06-03,746
2022-06-04,869
2022-06-05,674
2022-06-06,498
2022-06-07,535
2022-06-08,556
2022-06-09,641
2022-06-10,824
2022-06-11,1163
2022-06-12,1127
2022-06-13,685
2022-06-14,699
2022-06-15,778
2022-06-16,813
2022-06-17,951
2022-06-18,945
2022-06-19,784
2022-06-20,580
2022-06-21,683
2022-06-22,708
2022-06-23,836
