str_id, str_name, str_suffix, str_city, str_soundex, str_status, str_rsvd, str_subdiv, str_juris
"1","10TH","ST","BERTHOUD","0000","E","0","0","7"
"2","10TH","ST","FORT COLLINS","0000","E","0","0","1"
"3","10TH","ST","LOVELAND","0000","E","0","0","2"
"6679","10TH","ST","WINDSOR","0000","E","0","0","4"
"6680","11TH","ST","WINDSOR","0000","E","0","0","4"
"4","11TH","ST","FORT COLLINS","0000","E","0","0","1"
"5","11TH","ST","LOVELAND","0000","E","0","0","2"
"6","12TH","ST","FORT COLLINS","0000","E","0","0","1"
"7","12TH","ST","LOVELAND","0000","E","0","0","2"
"6681","12TH","ST","WINDSOR","0000","E","0","0","4"
"6682","13TH","ST","WINDSOR","0000","E","0","0","4"
"8","13TH","ST","LOVELAND","0000","E","0","0","2"
"9","14TH","ST","LOVELAND","0000","E","0","0","2"
"6683","14TH","ST","WINDSOR","0000","E","0","0","4"
"6684","15TH","ST","WINDSOR","0000","E","0","0","4"
"10","15TH","ST","LOVELAND","0000","E","0","0","2"
"11","16TH","ST","LOVELAND","0000","E","0","0","2"
"12","17TH","ST","LOVELAND","0000","E","0","0","2"
"13","18TH","ST","LOVELAND","0000","E","0","0","2"
"14","19TH","ST","LOVELAND","0000","E","0","0","2"
"15","1ST","ST","BERTHOUD","0000","E","0","0","7"
"16","1ST","ST","ESTES PARK","0000","E","0","0","5"
"17","1ST","ST","LOVELAND","0000","E","0","0","2"
"18","1ST","ST","WELLINGTON","0000","E","0","0","9"
"19","1ST","ST","FORT COLLINS","0000","E","0","0","1"
"6843","1ST","ST","WINDSOR","0000","E","0","0","4"
"20","20TH","ST","LOVELAND","0000","E","0","0","2"
"21","21ST","ST","LOVELAND","0000","E","0","0","2"
"22","21ST","CT","LOVELAND","0000","E","0","0","2"
"23","22ND","","LOVELAND","0000","E","0","0","2"
"24","22ND","PL","LOVELAND","0000","E","0","0","2"
"25","22ND","ST","LOVELAND","0000","E","0","0","2"
"26","23RD","ST","LOVELAND","0000","E","0","0","2"
"27","24TH","PL","LOVELAND","0000","E","0","0","2"
"28","24TH","ST","LOVELAND","0000","E","0","0","2"
"29","25TH","ST","LOVELAND","0000","E","0","0","2"
"30","26TH","ST","LOVELAND","0000","E","0","0","2"
"31","27TH","CT","LOVELAND","0000","E","0","0","2"
"32","27TH","ST","LOVELAND","0000","E","0","0","2"
"33","28TH","ST","LOVELAND","0000","E","0","0","2"
"34","29TH","AVE","LOVELAND","0000","E","0","0","2"
"35","29TH","ST","LOVELAND","0000","E","0","0","2"
"36","2ND","ST","BERTHOUD","0000","E","0","0","7"
"37","2ND","ST","ESTES PARK","0000","E","0","0","5"
"38","2ND","ST","FORT COLLINS","0000","E","0","0","1"
"39","2ND","ST","WELLINGTON","0000","E","0","0","9"
"40","2ND","ST","LOVELAND","0000","E","0","0","2"
"5975","2ND","AVE","FORT COLLINS","0000","E","0","0","1"
"6844","2ND","ST","WINDSOR","0000","E","0","0","4"
"41","30TH","ST","LOVELAND","0000","E","0","0","2"
"42","31ST","ST","LOVELAND","0000","E","0","0","2"
