sub_id, sub_name, sub_juris, jur_id, jur_name
"111"," ","2","2","Loveland"
"969"," ","9","9","Wellington"
"993"," ","7","7","Berthoud"
"123","---","4","4","Windsor"
"228","---","4","4","Windsor"
"219","2-7-69 (KH STREET NAME)","3","3","Larimer County"
"573","25-08-71","3","3","Larimer County"
"114","34-7-71 &amp; 3-6-71 UNNAMED STREET NAME","3","3","Larimer County"
"115","34-7-71 &amp; 3-6-71 UNNAMED STREET NAME (2ND CHOICE)","3","3","Larimer County"
"153","35 ACRE TRACTS IN 1-4-69","3","3","Larimer County"
"101","35 ACRE TRACTS IN 14,23,24,25 &amp;26-5-71","3","3","Larimer County"
"154","35 ACRE TRACTS IN 19-6-70,24,25,26-6-71,","3","3","Larimer County"
"87","35 ACRE TRACTS IN 22,23,26,27-5-71 QUILLAN GULCH RANCH ","3","3","Larimer County"
"94","35 ACRE TRACTS IN 25-7-71","3","3","Larimer County"
"198","35+ACRE TRACTS IN 30-5-69 &amp; 36-5-70","3","3","Larimer County"
"691","80521 UNNAMED MILNER MOUNTAIN RANCH RD","3","3","Larimer County"
"647","8872 RED MOUNTAIN RD","3","3","Larimer County"
"490","AIRPORT SUBSTATION ADDITION","2","2","Loveland"
"27","ALFORD LAKE 1ST SUBDIVISION","2","2","Loveland"
"366","ALFORD LAKE 4TH SUBDIVISION","2","2","Loveland"
"1","ALLISON ESTATES","3","3","Larimer County"
"160","ALVERSON RLUP 35-4-70","3","3","Larimer County"
"396","ANDERSON FARM 11TH SUBDIVISION","2","2","Loveland"
"44","ANDERSON FARM 7TH SUBDIVISION","2","2","Loveland"
"215","ANDERSON FARM EIGHTH SUBDIVISION","2","2","Loveland"
"559","ANDERSON FIRST SUBDIVISION","2","2","Loveland"
"89","ANTELOPE HILLS 35 ACRE TRACTS 17-10-68","3","3","Larimer County"
"495","ANTELOPE RUN ESTATES RLUP (04-S2235)","3","3","Larimer County"
"247","ARAPHAO RIDGE SNC 94-OS0584 5-11-70 KH","3","3","Larimer County"
"532","ARCADIA","1","1","Fort Collins"
"133","ARROWHEAD CD","3","3","Larimer County"
"132","ARROWHEAD CD 28-9-68","3","3","Larimer County"
"841","ARTHUR/SULZBACH UNNAMED ROAD","3","3","Larimer County"
"933","ASPEN HEIGHTS","1","1","Fort Collins"
"126","ASPEN KNOLLS 1ST SUBDIVISION","2","2","Loveland"
"291","ASPEN KNOLLS 2ND SUBDIVISION","2","2","Loveland"
"367","AUBURN ESTATES CD  (11-7-68 KH)","3","3","Larimer County"
"360","AUTUMN CREEK CD","3","3","Larimer County"
"394","AVAILABLE FOR USE NOT ASSIGNED TO ANY SUBDIVISIONS BUT RESERVED FOR TIMNATH USE ","8","8","Timnath"
"2","BACKBONE MEADOWS","3","3","Larimer County"
"103","BACKBONE MEADOWS SUBDIVISION (7-5-69)","3","3","Larimer County"
"499","BADGER HOLE RLUP","3","3","Larimer County"
"148","BARNSTORM 2ND ADDN","2","2","Loveland"
"646","BEAVER MEADOWS","3","3","Larimer County"
"767","BEAVER PL RENAME","3","3","Larimer County"
"249","BEE MLD &amp; WEBER MLD (10-8-68) KH","3","3","Larimer County"
"695","BELLA VIRA","1","1","Fort Collins"
"327","BELLWETHER FARM","1","1","Fort Collins"
"600","BENGLEN SUBDIVISION ","3","3","Larimer County"
"617","BENGLEN SUBDIVISION (24-6-69) KH","3","3","Larimer County"
"278","BENNET FARM RLUP (11-4-70) KH","3","3","Larimer County"
"181","BENNET FARM RLUP 11-4-70","3","3","Larimer County"
"976","BERTHOUD LAKE ENCLAVE","7","7","Berthoud"
"284","BIG HORN RIDGE AMD 19-6-68 KH","3","3","Larimer County"
"906","BIG VALLEY HOMESTEADS","3","3","Larimer County"
"168","BIG VALLEY HOMESTEADS 2ND RLUP","3","3","Larimer County"
"237","BISHOP MLD (4-8-69 KH)","3","3","Larimer County"
"107","BISON RIDGE SUBDIVISION","4","4","Windsor"
"43","BLACKBIRD KNOLLS 2ND SUBDIVISION","2","2","Loveland"
"1025","BLOOM","1","1","Fort Collins"
"363","BOETTCHLER FARMS ESTATES - 35 ACRE","3","3","Larimer County"
"677","BOGUSKY UNNAMED ROAD","3","3","Larimer County"
"960","BONFIRE","9","9","Wellington"
"217","BOX ELDER HEIGHTS RLUP (KH 11-8-68)","3","3","Larimer County"
"905","BOXELDER BUSINESS PARK","9","9","Wellington"
"189","BOXELDER COMMONS","9","9","Wellington"
"916","BOYD LAKE NORTH SEVENTH SUBDIVISION","2","2","Loveland"
"572","BRAUCH SUBDIVISION","3","3","Larimer County"
"92","BRENTS RANCH 27-7-68","3","3","Larimer County"
"359","BRUCE MLD  (KH 27-8-71)","3","3","Larimer County"
"26","BUCK 2ND SUBDIVISION","2","2","Loveland"
"253","BUCKHORN MEADOWS CD (23,26-6-70) KH","3","3","Larimer County"
"224","BUCKHORN MEADOWS CONSERVATION DEVELOPMENT 23,26-6-70 KH)","3","3","Larimer County"
"86","BUCKHORN RANCH RLUP (3,4,9,10-6-70)","3","3","Larimer County"
"55","BUCKHORN RANCH RLUP 3,4,9,10-6-70","3","3","Larimer County"
"932","BUCKING HORSE","1","1","Fort Collins"
"23","BUEHLER GREEN ACRES RLUP","3","3","Larimer County"
"185","BUFFALO CREEK","9","9","Wellington"
"209","BUFFUM CANYON SNC (15-6-70) KH","3","3","Larimer County"
"358","CALABRESE CD (36-6-70KH)","3","3","Larimer County"
"304","CAMBRIDGE/TRILBY","1","1","Fort Collins"
"343","CANYON RANCH ESTATES RLUP (10-9-69 KH)","3","3","Larimer County"
"981","CAPSTONE COTTAGES","1","1","Fort Collins"
"169","CARIBOU APARTMENTS","1","1","Fort Collins"
"374","CARLSON FARMS","6","6","Johnstown"
"206","CARLSON SUBDIVISION 33-5-68   KH","3","3","Larimer County"
"659","CARRAN/HOAGLAND UNNAMED ROAD","3","3","Larimer County"
"67","CASTEL BROOK DEVELOPMENT OF 35+ACRES IN 13-10-72 &amp; 18-10-71","3","3","Larimer County"
"64","CASTLE BROOK DEVELOPMENT OF 35+ ACRES IN 13-10-72 &amp; 18-10-71","3","3","Larimer County"
"66","CASTLE BROOK DEVELOPMENT OF 35+ACRES 13-10-72 &amp; 18-10-71","3","3","Larimer County"
"65","CASTLE BROOK DEVELOPMENT OF 35+ACRES IN 13-10-72 &amp; 18-10-71","3","3","Larimer County"
"172","CEDAR PARK  2ND STREET NAME CHANGE ","3","3","Larimer County"
"233","CEDAR SPRINGS 3 &amp; 4 FILING (26,35-6-71)KH","3","3","Larimer County"
"599","CENTENNIAL FARMS CD","3","3","Larimer County"
"379","CENTENNIAL FARMS CD (18,19-4-69KH)","3","3","Larimer County"
"323","CENTERRA","1","1","Fort Collins"
"324","CENTERRA - LOVELAND","1","1","Fort Collins"
"322","CENTERRA EAST - LOVELAND","1","1","Fort Collins"
"986","CENTRE FOR ADVANCED TECHNOLOGY","1","1","Fort Collins"
"223","CHALEDON ESTATES CD (6-4-69 KH)","3","3","Larimer County"
"346","CHAPMAN FARMS CD (01-S1795 KH 32-5-68","3","3","Larimer County"
"69","CHARLOTTE&#039;S FARM RLUP 33-5-68","3","3","Larimer County"
"762","CHOICE CENTER SUBDIVISION","1","1","Fort Collins"
"835","CLEARWATER ESTATES - ESVPLNA","3","3","Larimer County"
"3","CLYDESDALE PARK (DONE)","3","3","Larimer County"
"105","CLYDESDALE PARK, 2ND FILING","3","3","Larimer County"
"51","COLONY RIDGE ESTATES 2ND FILING","3","3","Larimer County"
"998","COLORADO STATE UNIVERSITY","1","1","Fort Collins"
"910","COLORADO STATE UNIVERSITY DRAKE CAMPUS","3","3","Larimer County"
"909","COLORADO STATE UNIVERSITY MAIN CAMPUS","3","3","Larimer County"
"926","COLORADO WEST SUBDIVISION","7","7","Berthoud"
"190","COLUMBINE ESTATES","9","9","Wellington"
"522","COPPER RIDGE SUBDIVISION","2","2","Loveland"
"61","CORBETT GLEN","6","6","Johnstown"
"1028","CORE SPACE AT TRILBY ROAD &amp; COLLEGE AVE","1","1","Fort Collins"
"314","COTTAGES AT BERTHOUD VILLAGE","7","7","Berthoud"
"58","COTTONWOOD FARMS RLUP 2-7-68","3","3","Larimer County"
"399","COTTONWOOD PARK","9","9","Wellington"
"184","COTTONWOOD RIDGE","1","1","Fort Collins"
"987","COUNTRY CLUB RESERVE","1","1","Fort Collins"
"63","COUNTY ROAD NAME CHANGED TO CITY STREET NAME","3","3","Larimer County"
"277","COYOTE RIDGE ESTATES (35 ACRE DEV)","3","3","Larimer County"
"996","CREEKSIDE TOWNHOMES","7","7","Berthoud"
"410","CREEKSIDE VILLAGE","9","9","Wellington"
"413","CRIST/GALLIVAN SUB (1-5-70 KH)","3","3","Larimer County"
"1014","CROWNE AT OLD TOWN NORTH","1","1","Fort Collins"
