DateStamp,"DOC, mg/L"
5-Jan-21,3.09
1-Dec-20,3.18
3-Nov-20,3.29
30-Sep-20,3.21
1-Sep-20,2.82
4-Aug-20,2.88
7-Jul-20,2.86
2-Jun-20,3.00
5-May-20,3.00
7-Apr-20,2.93
3-Mar-20,3.03
18-Feb-20,3.09
7-Jan-20,3.26
1-Oct-19,2.84
3-Sep-19,2.78
6-Aug-19,2.86
2-Jul-19,2.96
4-Jun-19,3.03
7-May-19,3.14
2-Apr-19,3.05
5-Mar-19,3.02
5-Feb-19,2.98
8-Jan-19,3.07
4-Dec-18,3.04
6-Nov-18,3.00
4-Sep-18,3.12
7-Aug-18,3.10
10-Jul-18,3.08
5-Jun-18,3.38
1-May-18,3.36
3-Apr-18,3.46
6-Mar-18,3.43
6-Feb-18,3.46
2-Jan-18,3.60
5-Dec-17,3.25
7-Nov-17,3.75
3-Oct-17,3.36
5-Sep-17,3.08
1-Aug-17,3.12
11-Jul-17,3.01
6-Jun-17,3.22
2-May-17,3.23
4-Apr-17,3.41
7-Mar-17,3.42
7-Feb-17,3.58
3-Jan-17,3.50
6-Dec-16,3.49
4-Oct-16,3.55
