DateStamp,"TOC, mg/L"
5-Jan-21,3.05
15-Dec-20,3.20
1-Dec-20,3.19
17-Nov-20,3.22
3-Nov-20,3.31
20-Oct-20,3.25
30-Sep-20,3.18
15-Sep-20,3.40
1-Sep-20,2.94
18-Aug-20,2.95
4-Aug-20,2.92
21-Jul-20,2.90
7-Jul-20,2.86
16-Jun-20,2.94
2-Jun-20,3.01
19-May-20,3.04
5-May-20,2.98
21-Apr-20,2.99
7-Apr-20,2.95
17-Mar-20,3.14
3-Mar-20,3.10
18-Feb-20,3.18
21-Jan-20,3.38
7-Jan-20,3.22
3-Dec-19,3.68
5-Nov-19,3.52
1-Oct-19,2.84
17-Sep-19,2.88
3-Sep-19,2.80
20-Aug-19,2.94
6-Aug-19,2.87
16-Jul-19,2.90
2-Jul-19,2.99
18-Jun-19,3.10
4-Jun-19,3.04
21-May-19,3.05
7-May-19,3.14
16-Apr-19,3.11
2-Apr-19,3.07
19-Mar-19,3.06
5-Mar-19,3.04
19-Feb-19,3.05
5-Feb-19,3.01
22-Jan-19,3.14
8-Jan-19,3.04
18-Dec-18,3.00
4-Dec-18,3.08
6-Nov-18,2.91
16-Oct-18,3.18
18-Sep-18,3.07
4-Sep-18,3.12
21-Aug-18,3.06
7-Aug-18,3.15
24-Jul-18,3.27
10-Jul-18,3.25
19-Jun-18,3.32
5-Jun-18,3.35
15-May-18,3.50
1-May-18,3.34
17-Apr-18,3.37
3-Apr-18,3.33
20-Mar-18,3.80
6-Mar-18,3.64
6-Feb-18,3.55
16-Jan-18,3.58
2-Jan-18,3.60
19-Dec-17,3.60
5-Dec-17,3.20
7-Nov-17,3.72
17-Oct-17,3.52
3-Oct-17,3.48
19-Sep-17,3.06
5-Sep-17,3.10
15-Aug-17,3.08
1-Aug-17,3.09
11-Jul-17,3.12
20-Jun-17,3.07
6-Jun-17,3.21
16-May-17,3.28
2-May-17,3.48
18-Apr-17,3.38
4-Apr-17,3.55
21-Mar-17,3.47
7-Mar-17,3.58
21-Feb-17,3.64
7-Feb-17,3.66
17-Jan-17,3.53
3-Jan-17,3.56
20-Dec-16,3.56
6-Dec-16,3.57
4-Oct-16,3.43
16-Aug-16,3.32
