DateStamp,"UV254, abs/cm"
5-Jan-21,0.047
15-Dec-20,0.048
1-Dec-20,0.048
17-Nov-20,0.049
3-Nov-20,0.049
20-Oct-20,0.049
30-Sep-20,0.048
15-Sep-20,0.049
1-Sep-20,0.048
18-Aug-20,0.049
4-Aug-20,0.049
21-Jul-20,0.048
7-Jul-20,0.049
16-Jun-20,0.049
2-Jun-20,0.048
19-May-20,0.049
5-May-20,0.048
21-Apr-20,0.046
7-Apr-20,0.047
17-Mar-20,0.050
3-Mar-20,0.047
18-Feb-20,0.047
21-Jan-20,0.048
7-Jan-20,0.045
3-Dec-19,0.051
5-Nov-19,0.045
1-Oct-19,0.043
17-Sep-19,0.044
3-Sep-19,0.044
20-Aug-19,0.044
6-Aug-19,0.045
16-Jul-19,0.045
2-Jul-19,0.043
18-Jun-19,0.044
4-Jun-19,0.044
21-May-19,0.043
7-May-19,0.042
16-Apr-19,0.043
2-Apr-19,0.046
19-Mar-19,0.045
5-Mar-19,0.046
19-Feb-19,0.046
5-Feb-19,0.045
22-Jan-19,0.045
8-Jan-19,0.045
18-Dec-18,0.045
4-Dec-18,0.046
6-Nov-18,0.046
16-Oct-18,0.046
18-Sep-18,0.047
4-Sep-18,0.047
21-Aug-18,0.048
7-Aug-18,0.047
24-Jul-18,0.048
10-Jul-18,0.048
19-Jun-18,0.046
5-Jun-18,0.048
15-May-18,0.047
1-May-18,0.050
17-Apr-18,0.048
3-Apr-18,0.049
20-Mar-18,0.049
6-Mar-18,0.050
6-Feb-18,0.050
16-Jan-18,0.051
2-Jan-18,0.050
19-Dec-17,0.051
5-Dec-17,0.048
7-Nov-17,0.051
17-Oct-17,0.051
3-Oct-17,0.053
19-Sep-17,0.050
5-Sep-17,0.051
15-Aug-17,0.051
1-Aug-17,0.052
11-Jul-17,0.050
20-Jun-17,0.051
6-Jun-17,0.051
16-May-17,0.050
2-May-17,0.051
18-Apr-17,0.051
4-Apr-17,0.052
21-Mar-17,0.052
7-Mar-17,0.052
21-Feb-17,0.054
7-Feb-17,0.056
17-Jan-17,0.054
3-Jan-17,0.054
20-Dec-16,0.054
6-Dec-16,0.054
4-Oct-16,0.054
16-Aug-16,0.053
