DateStamp,"Alkalinity, mg/L"
1/12/2021 13:00,96
1/11/2021 13:00,95
1/10/2021 13:00,96
1/9/2021 13:00,98
1/8/2021 13:00,96
1/7/2021 13:00,98
1/6/2021 13:00,96
1/5/2021 13:00,98
1/4/2021 13:00,95
1/3/2021 13:00,97
1/2/2021 13:00,98
1/1/2021 13:00,97
12/31/2020 13:00,97
12/30/2020 13:00,97
12/29/2020 13:00,98
12/28/2020 13:00,96
12/27/2020 13:00,95
12/26/2020 13:00,100
12/25/2020 13:00,98
12/24/2020 13:00,101
12/23/2020 13:00,101
12/22/2020 13:00,98
12/21/2020 13:00,101
12/20/2020 13:00,102
12/19/2020 13:00,102
12/18/2020 13:00,98
12/17/2020 13:00,97
12/16/2020 13:00,102
12/15/2020 13:00,101
12/14/2020 13:00,102
12/13/2020 13:00,99
12/12/2020 13:00,102
12/10/2020 13:00,100
12/9/2020 13:00,98
12/8/2020 13:00,100
12/7/2020 13:00,100
12/6/2020 13:00,100
12/5/2020 13:00,101
12/4/2020 13:00,101
12/3/2020 13:00,99
12/2/2020 13:00,100
12/1/2020 13:00,101
11/30/2020 13:00,99
11/29/2020 13:00,104
11/28/2020 13:00,101
11/27/2020 13:00,98
11/26/2020 13:00,101
11/25/2020 13:00,99
11/24/2020 13:00,100
11/23/2020 13:00,101
11/22/2020 13:00,101
11/21/2020 13:00,104
11/20/2020 13:00,102
11/19/2020 13:00,103
11/18/2020 13:00,103
11/17/2020 13:00,102
11/16/2020 13:00,102
11/15/2020 13:00,105
11/14/2020 13:00,102
11/13/2020 13:00,102
11/12/2020 13:00,104
11/11/2020 13:00,103
11/10/2020 13:00,102
11/9/2020 13:00,104
11/8/2020 13:00,105
11/7/2020 13:00,104
11/6/2020 13:00,103
11/5/2020 13:00,103
11/4/2020 13:00,106
11/3/2020 13:00,107
11/2/2020 13:00,104
11/1/2020 13:00,103
10/31/2020 13:00,102
10/30/2020 13:00,105
10/29/2020 13:00,104
10/28/2020 13:00,103
10/27/2020 13:00,103
10/26/2020 13:00,106
10/25/2020 13:00,104
10/24/2020 13:00,109
10/23/2020 13:00,103
10/22/2020 13:00,104
10/21/2020 13:00,103
10/20/2020 13:00,106
10/19/2020 13:00,103
10/18/2020 13:00,103
10/17/2020 13:00,104
10/16/2020 13:00,106
10/15/2020 13:00,104
10/14/2020 13:00,106
10/13/2020 13:00,103
10/12/2020 13:00,103
10/11/2020 13:00,102
10/10/2020 13:00,104
10/9/2020 13:00,105
10/8/2020 13:00,102
10/7/2020 13:00,103
10/6/2020 13:00,101
10/5/2020 13:00,102
10/4/2020 13:00,101
10/3/2020 13:00,103
10/2/2020 13:00,104
10/1/2020 13:00,105
9/30/2020 13:00,104
9/29/2020 13:00,98
9/28/2020 13:00,102
9/27/2020 13:00,103
9/25/2020 13:00,100
9/24/2020 13:00,100
9/23/2020 13:00,99
9/22/2020 13:00,102
9/21/2020 13:00,100
9/20/2020 13:00,102
9/19/2020 13:00,99
9/18/2020 13:00,101
9/17/2020 13:00,105
9/16/2020 13:00,103
9/15/2020 13:00,100
9/14/2020 13:00,101
9/13/2020 13:00,104
9/12/2020 13:00,1010
9/11/2020 13:00,103
9/10/2020 13:00,104
9/9/2020 13:00,107
9/8/2020 13:00,107
9/7/2020 13:00,104
9/6/2020 13:00,104
9/5/2020 13:00,105
9/4/2020 13:00,103
9/3/2020 13:00,104
9/2/2020 13:00,104
9/1/2020 13:00,105
8/31/2020 13:00,105
8/30/2020 13:00,106
8/29/2020 13:00,104
8/28/2020 13:00,102
8/27/2020 13:00,103
8/26/2020 13:00,106
8/25/2020 13:00,103
8/24/2020 13:00,101
8/23/2020 13:00,103
8/22/2020 13:00,100
8/21/2020 13:00,106
8/20/2020 13:00,99
8/19/2020 13:00,98
8/18/2020 13:00,100
8/17/2020 13:00,104
8/16/2020 13:00,102
8/15/2020 13:00,99
8/14/2020 13:00,99
8/13/2020 13:00,101
8/12/2020 13:00,99
8/11/2020 13:00,101
8/10/2020 13:00,96
8/9/2020 13:00,98
8/8/2020 13:00,100
8/7/2020 13:00,97
8/6/2020 13:00,98
8/5/2020 13:00,98
8/4/2020 13:00,96
8/3/2020 13:00,98
8/2/2020 13:00,98
8/1/2020 13:00,98
7/31/2020 13:00,96
7/30/2020 13:00,97
7/29/2020 13:00,98
7/28/2020 13:00,98
7/27/2020 13:00,97
7/26/2020 13:00,97
7/25/2020 13:00,97
7/24/2020 13:00,99
7/23/2020 13:00,99
7/22/2020 13:00,96
7/21/2020 13:00,96
7/20/2020 13:00,101
7/19/2020 13:00,99
7/18/2020 13:00,96
7/17/2020 13:00,95
7/16/2020 13:00,96
7/15/2020 13:00,97
7/14/2020 13:00,98
7/13/2020 13:00,95
7/12/2020 13:00,98
7/11/2020 13:00,96
7/10/2020 13:00,95
7/9/2020 13:00,98
7/8/2020 13:00,96
7/7/2020 13:00,97
7/6/2020 13:00,95
7/5/2020 13:00,97
7/4/2020 13:00,97
7/3/2020 13:00,96
7/2/2020 13:00,94
