DateStamp,"Hardness, mg/L"
3/3/2021 13:00,135
1/12/2021 13:00,139
1/11/2021 13:00,141
1/10/2021 13:00,137
1/9/2021 13:00,148
1/8/2021 13:00,136
1/7/2021 13:00,137
1/6/2021 13:00,138
1/5/2021 13:00,153
1/4/2021 13:00,139
1/3/2021 13:00,141
1/2/2021 13:00,140
1/1/2021 13:00,138
12/31/2020 13:00,141
12/30/2020 13:00,138
12/29/2020 13:00,139
12/28/2020 13:00,138
12/27/2020 13:00,136
12/26/2020 13:00,140
12/25/2020 13:00,143
12/24/2020 13:00,137
12/23/2020 13:00,142
12/22/2020 13:00,138
12/21/2020 13:00,136
12/20/2020 13:00,142
12/19/2020 13:00,139
12/18/2020 13:00,139
12/17/2020 13:00,142
12/16/2020 13:00,143
12/15/2020 13:00,137
12/14/2020 13:00,139
12/13/2020 13:00,142
12/12/2020 13:00,140
12/10/2020 13:00,138
12/9/2020 13:00,148
12/8/2020 13:00,143
12/7/2020 13:00,139
12/6/2020 13:00,141
12/5/2020 13:00,140
12/4/2020 13:00,141
12/3/2020 13:00,138
12/2/2020 13:00,137
12/1/2020 13:00,140
11/30/2020 13:00,152
11/29/2020 13:00,141
11/28/2020 13:00,154
11/27/2020 13:00,145
11/26/2020 13:00,146
11/25/2020 13:00,140
11/24/2020 13:00,140
11/23/2020 13:00,140
11/22/2020 13:00,142
11/21/2020 13:00,139
11/20/2020 13:00,140
11/19/2020 13:00,145
11/18/2020 13:00,139
11/18/2020 1:00,0
11/17/2020 13:00,141
11/16/2020 13:00,142
11/15/2020 13:00,147
11/14/2020 13:00,142
11/13/2020 13:00,140
11/12/2020 13:00,140
11/11/2020 13:00,159
11/10/2020 13:00,143
11/9/2020 13:00,140
11/8/2020 13:00,143
11/7/2020 13:00,142
11/6/2020 13:00,143
11/5/2020 13:00,141
11/4/2020 13:00,145
11/3/2020 13:00,143
11/2/2020 13:00,154
11/1/2020 13:00,142
10/31/2020 13:00,144
10/30/2020 13:00,143
10/29/2020 13:00,140
10/28/2020 13:00,142
10/27/2020 13:00,143
10/26/2020 13:00,138
10/25/2020 13:00,140
10/24/2020 13:00,143
10/23/2020 13:00,141
10/22/2020 13:00,143
10/21/2020 13:00,140
10/20/2020 13:00,140
10/19/2020 13:00,141
10/18/2020 13:00,143
10/17/2020 13:00,141
10/16/2020 13:00,140
10/15/2020 13:00,144
10/14/2020 13:00,142
10/13/2020 13:00,142
10/12/2020 13:00,140
10/11/2020 13:00,139
10/10/2020 13:00,142
10/9/2020 13:00,140
10/8/2020 13:00,141
10/7/2020 13:00,139
10/6/2020 13:00,140
10/5/2020 13:00,141
10/4/2020 13:00,141
10/3/2020 13:00,140
10/2/2020 13:00,138
10/1/2020 13:00,139
9/30/2020 13:00,140
9/29/2020 13:00,140
9/28/2020 13:00,137
9/27/2020 13:00,136
9/25/2020 13:00,139
9/24/2020 13:00,139
9/23/2020 13:00,138
9/22/2020 13:00,137
9/21/2020 13:00,133
9/20/2020 13:00,140
9/19/2020 13:00,138
9/18/2020 13:00,138
9/17/2020 13:00,143
9/16/2020 13:00,137
9/15/2020 13:00,139
9/14/2020 13:00,141
9/13/2020 13:00,139
9/12/2020 13:00,140
9/11/2020 13:00,142
9/10/2020 13:00,142
9/9/2020 13:00,139
9/8/2020 13:00,139
9/7/2020 13:00,136
9/6/2020 13:00,141
9/5/2020 13:00,140
9/4/2020 13:00,141
9/3/2020 13:00,143
9/2/2020 13:00,142
9/1/2020 13:00,143
8/31/2020 13:00,139
8/30/2020 13:00,138
8/29/2020 13:00,142
8/28/2020 13:00,139
8/27/2020 13:00,141
8/26/2020 13:00,141
8/25/2020 13:00,146
8/24/2020 13:00,139
8/23/2020 13:00,143
8/22/2020 13:00,139
8/21/2020 13:00,141
8/20/2020 13:00,137
8/19/2020 17:00,160
8/18/2020 13:00,137
8/17/2020 13:00,137
8/16/2020 13:00,136
8/15/2020 13:00,137
8/14/2020 13:00,138
8/13/2020 13:00,138
8/12/2020 13:00,137
8/11/2020 13:00,135
8/10/2020 13:00,136
8/9/2020 13:00,137
8/8/2020 13:00,140
8/7/2020 13:00,137
8/6/2020 13:00,138
8/5/2020 13:00,134
8/4/2020 13:00,135
8/3/2020 13:00,133
8/2/2020 13:00,132
8/1/2020 13:00,135
7/31/2020 13:00,135
7/30/2020 13:00,135
7/29/2020 13:00,139
7/28/2020 13:00,134
7/27/2020 13:00,135
7/26/2020 13:00,136
7/25/2020 13:00,133
7/24/2020 13:00,135
7/23/2020 13:00,133
7/22/2020 13:00,135
7/21/2020 13:00,133
7/20/2020 13:00,132
7/19/2020 13:00,131
7/18/2020 13:00,136
7/17/2020 13:00,134
7/16/2020 13:00,134
7/15/2020 13:00,131
7/14/2020 13:00,134
7/13/2020 13:00,132
7/12/2020 13:00,132
7/11/2020 13:00,136
7/10/2020 13:00,136
7/9/2020 13:00,133
7/8/2020 13:00,134
7/7/2020 13:00,141
7/6/2020 13:00,136
7/5/2020 13:00,134
7/4/2020 13:00,133
7/3/2020 13:00,134
7/2/2020 13:00,135
7/1/2020 13:00,135
6/30/2020 13:00,131
6/29/2020 13:00,134
6/28/2020 13:00,134
6/27/2020 13:00,134
6/26/2020 13:00,131
6/25/2020 13:00,132
6/24/2020 13:00,134
6/23/2020 13:00,134
6/22/2020 13:00,134
6/21/2020 13:00,130
6/20/2020 13:00,135
6/19/2020 13:00,133
6/18/2020 13:00,134
6/17/2020 13:00,130
6/16/2020 13:00,134
6/15/2020 13:00,134
6/14/2020 13:00,134
6/13/2020 13:00,136
6/12/2020 13:00,133
6/11/2020 13:00,136
6/10/2020 13:00,136
6/9/2020 13:00,136
6/8/2020 13:00,134
6/7/2020 13:00,135
6/6/2020 13:00,140
6/5/2020 13:00,136
6/4/2020 13:00,136
6/3/2020 13:00,135
6/2/2020 13:00,134
6/1/2020 13:00,136
5/31/2020 13:00,140
5/30/2020 13:00,136
5/29/2020 13:00,132
5/28/2020 13:00,140
5/27/2020 13:00,145
5/26/2020 13:00,136
5/25/2020 13:00,137
5/24/2020 13:00,133
5/23/2020 13:00,137
5/22/2020 13:00,136
5/21/2020 13:00,136
5/20/2020 13:00,133
5/19/2020 13:00,133
5/18/2020 13:00,137
5/17/2020 13:00,137
5/16/2020 13:00,140
5/15/2020 13:00,132
5/14/2020 13:00,133
5/13/2020 13:00,136
5/12/2020 13:00,149
5/11/2020 13:00,135
5/10/2020 13:00,135
5/9/2020 13:00,137
5/8/2020 13:00,136
5/7/2020 13:00,139
5/6/2020 13:00,134
5/5/2020 13:00,136
5/4/2020 13:00,135
5/3/2020 13:00,138
5/2/2020 13:00,135
5/1/2020 13:00,138
4/30/2020 13:00,140
4/29/2020 13:00,146
4/28/2020 13:00,136
4/27/2020 13:00,134
4/26/2020 13:00,132
4/25/2020 13:00,136
4/24/2020 13:00,143
4/23/2020 13:00,135
