Segment Name,Percentage of Matched Trips,Count of Matched Trips,Segment Geometry ID
,7.8,"43,900",026904cfa363114a64bb47aec6dbfcba
Meridian Avenue,7.6,"42,800",e10fa6d94a531fd7c102239d18a3a547
Meridian Avenue,7.4,"41,800",9ff39d83147d393233cef73f6ad308b6
West Plum Street,7.3,"41,200",c7c09425c945f78f4a27fc46fae4980b
West Plum Street,6.8,"38,300",a67e92b6fb39ae5201f7971d8096e962
West Plum Street,6.6,"37,000",67444c6fe912357970f1cf2a23368db0
West Pitkin Street,6.5,"36,300",a78dd371b0ed7678cef8cbb7555c86c2
West Pitkin Street,6.5,"36,600",910f22081d6b511ada46cc4505105653
University Avenue,6.4,"36,000",10a061501c02d2cc4f97662ee202757d
University Avenue,6.3,"35,600",fcc7b4a21875cee1254c420797e75de1
Meridian Avenue,6.2,"34,900",b00b6fce43fc92510d96c9aa9c823b29
West Plum Street,6.1,"34,400",aebe1594fa0f4f7b5046e1fdbed79a53
Meridian Avenue,6.1,"34,400",df6ad33cc9ffb8b21f3b0f7afcefab2a
University Avenue,6,"33,700",a76a4372e18e768785507d5efd7dcffb
West Plum Street,5.9,"33,000",b77533549e370fa64916a9c3e65d9897
West Plum Street,5.8,"32,300",cd5e6f7ed6de6b96f6b1b3a6ede5ff4b
Meridian Avenue,5.8,"32,500",c72623bc1b216029e40c1cad5f545d29
West Plum Street,5.7,"32,000",3afa2d8cc95b97c86f6770494fdd1381
,5.7,"32,000",80b0dd76046e6a18c84baca0d1bfc650
Meridian Avenue,5.6,"31,300",43f3c4c6594b12d454697837fc7f630e
,5.6,"31,400",af79f1e206b14cc662da2fa310547fd0
,5.6,"31,500",b5b5c76d342a508a199d4f331f6d1a65
,5.5,"30,800",77bf015262fc6ca25b3cd0c88e6ec0b8
,5.5,"31,000",4e08b11aaf78a8ea46bb3367ecbb9a28
West Plum Street,5.4,"30,500",559cfb49972a1698afd7f7f59433d03f
,5.2,"29,200",9b4347ca2551dcd63f8a0d2dfa50e375
West Plum Street,5.1,"28,400",5f7d35021196208feb5573258dfd3251
West Plum Street,5.1,"28,500",b789ddea36f552bb4ad0c200dbcecfce
West Pitkin Street,5.1,"28,500",eb2f5779b612b78f35331bb100fbe2a1
